
 num     #instances         #bytes  class name
 114:            79           9008  [Ljava.util.WeakHashMap$Entry;
 115:           375           9000  sun.reflect.generics.tree.ClassSignature
 116:           281           8992  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 117:           403           8392  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 118:           375           7912  [Lsun.reflect.generics.tree.ClassTypeSignature;
 119:           494           7904  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 120:           494           7904  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 121:           494           7904  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 122:           321           7704  org.springframework.boot.context.properties.source.PropertyMapping
 123:           158           7584  java.util.ResourceBundle$BundleReference
 124:           397           7488  [Ljava.lang.reflect.TypeVariable;
 125:           156           7488  java.lang.invoke.LambdaForm
 126:           155           7440  java.util.logging.LogManager$LoggerWeakRef
 127:           303           7272  sun.reflect.generics.scope.MethodScope
 128:           162           7120  [Ljava.lang.invoke.LambdaForm$Name;
 129:           309           7120  [Lsun.reflect.generics.tree.TypeSignature;
 130:           219           7008  javax.management.MBeanParameterInfo
 131:           125           7000  java.lang.invoke.MethodTypeForm
 132:           218           6976  java.util.RegularEnumSet
 133:           275           6600  java.util.concurrent.CopyOnWriteArrayList
 134:           272           6528  org.springframework.beans.BeanMetadataAttribute
 135:            29           6496  jdk.internal.org.objectweb.asm.MethodWriter
 136:           262           6288  org.springframework.cglib.core.Signature
 137:           156           6240  java.util.HashMap$ValueIterator
 138:           259           6216  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 139:           256           6144  java.lang.Long
 140:            16           6016  java.lang.Thread
 141:           186           5952  org.apache.logging.slf4j.SLF4JLogger
 142:           185           5920  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 143:           120           5760  java.beans.BeanDescriptor
 144:            65           5720  org.springframework.beans.ExtendedBeanInfo$SimplePropertyDescriptor
 145:           357           5712  java.util.HashSet
 146:           142           5680  org.springframework.util.ConcurrentReferenceHashMap
 147:           170           5440  java.util.ResourceBundle$LoaderReference
 148:            75           5400  java.util.logging.Logger
 149:           330           5280  com.sun.proxy.$Proxy24
 150:           218           5232  java.lang.StringBuilder
 151:           109           5232  java.util.Hashtable
 152:           218           5232  org.springframework.beans.factory.annotation.InjectionMetadata
 153:           161           5152  org.springframework.asm.Type
 154:           208           4992  sun.reflect.NativeMethodAccessorImpl
 155:            75           4936  [Ljavax.management.MBeanAttributeInfo;
 156:           153           4896  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
